Channel Name ,Calibration Equation
GENERIC,58.69299438396007*voltage+0.12049023712211593
AIN40,58.69299438396007*voltage+0.12049023712211593
AIN41,58.69299438396007*voltage+0.12049023712211593
AIN42,58.69299438396007*voltage+0.12049023712211593
AIN43,58.69299438396007*voltage+0.12049023712211593
AIN44,58.69299438396007*voltage+0.12049023712211593
AIN45,58.69299438396007*voltage+0.12049023712211593
AIN46,58.69299438396007*voltage+0.12049023712211593
AIN47,58.69299438396007*voltage+0.12049023712211593
AIN48,58.69299438396007*voltage+0.12049023712211593
AIN49,58.69299438396007*voltage+0.12049023712211593
AIN50,58.69299438396007*voltage+0.12049023712211593
AIN51,58.69299438396007*voltage+0.12049023712211593
AIN52,58.69299438396007*voltage+0.12049023712211593
AIN53,58.69299438396007*voltage+0.12049023712211593
AIN54,58.69299438396007*voltage+0.12049023712211593
AIN55,58.69299438396007*voltage+0.12049023712211593
AIN56,58.69299438396007*voltage+0.12049023712211593
AIN57,58.69299438396007*voltage+0.12049023712211593
AIN58,58.69299438396007*voltage+0.12049023712211593
AIN59,58.69299438396007*voltage+0.12049023712211593
AIN60,58.69299438396007*voltage+0.12049023712211593
AIN61,58.69299438396007*voltage+0.12049023712211593
AIN62,58.69299438396007*voltage+0.12049023712211593
AIN63,58.69299438396007*voltage+0.12049023712211593
AIN64,58.69299438396007*voltage+0.12049023712211593
AIN65,58.69299438396007*voltage+0.12049023712211593
AIN66,58.69299438396007*voltage+0.12049023712211593
AIN67,58.69299438396007*voltage+0.12049023712211593
AIN68,58.69299438396007*voltage+0.12049023712211593
AIN69,58.69299438396007*voltage+0.12049023712211593
AIN70,58.69299438396007*voltage+0.12049023712211593
